Patched jax.experimental.layout.DeviceLocalLayout -> <class 'jax._src.layout.Layout'>
Initial shape from: /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/cont3_lambda_100000_10_100000_100_1/checkpoint_10000
Use pretrained data as initial condition...
[biconcave] pretrain=checkpoint lambdas=(100000,10,100000,100,1,1) -> /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/test_lambda_100000_10_100000_100_1_1
[make_train_step] mode = curv+lapH+forc
  use_curv = True
  use_lapH = True
  use_forc = True
  0%|          | 0/10000 [00:00<?, ?it/s]
step=1 loss=379546752.0 ld=0.017243053764104843 lp=248.56051635742188 ls=0.00024238228797912598 lc=13.740915298461914 ll=259.2055358886719 lf=379540896.0 grad_norm=37841833984.0
step=30 loss=5.304444864379748e+18 ld=0.04520251229405403 lp=265.1224670410156 ls=0.003237283555790782 lc=25.343706130981445 ll=3758.392333984375 lf=5.304444864379748e+18 grad_norm=inf
step=31 loss=4.765695161885786e+18 ld=0.04490567371249199 lp=265.0650939941406 ls=0.003211231902241707 lc=25.382421493530273 ll=3775.01904296875 lf=4.765695161885786e+18 grad_norm=inf
step=32 loss=4.266771969573126e+18 ld=0.04461541399359703 lp=264.9894714355469 ls=0.003187917172908783 lc=25.41204071044922 ll=3789.20068359375 lf=4.266771969573126e+18 grad_norm=inf
step=33 loss=3.82620150861398e+18 ld=0.04433533921837807 lp=264.92303466796875 ls=0.0031676553189754486 lc=25.443710327148438 ll=3805.35986328125 lf=3.82620150861398e+18 grad_norm=inf
step=34 loss=3.432085963684184e+18 ld=0.04407236725091934 lp=264.8353576660156 ls=0.0031499590259045362 lc=25.4766845703125 ll=3822.4794921875 lf=3.432085963684184e+18 grad_norm=inf
step=35 loss=3.09320218635246e+18 ld=0.04383118823170662 lp=264.7669982910156 ls=0.003134928410872817 lc=25.51602554321289 ll=3842.04541015625 lf=3.09320218635246e+18 grad_norm=inf
step=36 loss=2.7963450419692175e+18 ld=0.04360528662800789 lp=264.708984375 ls=0.003121535759419203 lc=25.55078125 ll=3858.133544921875 lf=2.7963450419692175e+18 grad_norm=inf
step=37 loss=2.545542041627001e+18 ld=0.043404847383499146 lp=264.67034912109375 ls=0.003110791789367795 lc=25.59144401550293 ll=3880.609619140625 lf=2.545542041627001e+18 grad_norm=inf
step=38 loss=2.3313346365478666e+18 ld=0.04322565346956253 lp=264.6203918457031 ls=0.0031020145397633314 lc=25.625139236450195 ll=3899.724609375 lf=2.3313346365478666e+18 grad_norm=inf
step=39 loss=2.1455458961949983e+18 ld=0.043067000806331635 lp=264.5932312011719 ls=0.0030946198385208845 lc=25.66965675354004 ll=3920.983154296875 lf=2.1455458961949983e+18 grad_norm=inf
step=40 loss=1.9872646003068764e+18 ld=0.0429302342236042 lp=264.56878662109375 ls=0.0030891941860318184 lc=25.702816009521484 ll=3938.630615234375 lf=1.9872646003068764e+18 grad_norm=inf
step=41 loss=1.8498701770558013e+18 ld=0.04280630126595497 lp=264.5579833984375 ls=0.003084094263613224 lc=25.74127197265625 ll=3955.62939453125 lf=1.8498701770558013e+18 grad_norm=inf
